,CPC_flowA,CPC_flowB,CPC_pressure,USI_flow,USI_pressure,bias_flow
2023/01/31 23:15:31,3.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:16:01,3.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:16:32,3.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:17:31,0.0,0.0,24.436,0.0,25.37,0.0
2023/01/31 23:18:01,0.0,0.0,24.436,0.0,25.37,0.0
2023/01/31 23:18:32,24.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:19:31,0.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:20:01,0.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:20:32,0.0,0.0,24.436,0.0,25.37,0.0
2023/01/31 23:21:31,42.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:22:01,42.0,0.0,24.436,0.0,25.37,100.0
2023/01/31 23:22:32,27.0,0.0,24.44,0.0,25.37,100.0
2023/01/31 23:23:31,33.0,0.0,24.436,0.0,25.36,100.0
2023/01/31 23:24:02,33.0,0.0,24.436,0.0,25.36,100.0
2023/01/31 23:24:32,18.0,0.0,24.436,0.0,25.36,100.0
2023/01/31 23:25:31,0.0,0.0,24.452,0.0,25.36,0.0
2023/01/31 23:26:31,0.0,0.0,24.452,0.0,25.36,0.0
2023/01/31 23:27:01,0.0,0.0,24.452,0.0,25.36,0.0
2023/01/31 23:27:31,33.0,0.0,24.452,0.0,25.37,100.0
2023/01/31 23:28:31,3.0,0.0,24.452,0.0,25.36,100.0
2023/01/31 23:29:01,3.0,0.0,24.452,0.0,25.36,100.0
2023/01/31 23:29:32,30.0,0.0,24.452,0.0,25.36,100.0
2023/01/31 23:30:31,0.0,0.0,24.452,0.0,25.36,0.0
2023/01/31 23:31:01,0.0,0.0,24.452,0.0,25.36,0.0
2023/01/31 23:31:32,39.0,0.0,24.452,0.0,25.36,100.0
2023/01/31 23:32:31,3.0,0.0,24.46,0.0,25.36,100.0
2023/01/31 23:33:01,3.0,0.0,24.46,0.0,25.36,100.0
2023/01/31 23:33:32,36.0,0.0,24.46,0.0,25.36,100.0
2023/01/31 23:34:31,18.0,0.0,24.452,0.0,25.36,100.0
2023/01/31 23:35:01,18.0,0.0,24.452,0.0,25.36,100.0
2023/01/31 23:35:32,18.0,0.0,24.452,0.0,25.36,100.0
2023/01/31 23:36:31,42.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:37:01,42.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:37:32,57.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:38:31,3.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:39:02,3.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:39:32,0.0,0.0,24.464,0.0,25.36,0.0
2023/01/31 23:40:31,39.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:41:02,39.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:41:32,39.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:42:31,0.0,0.0,24.464,0.0,25.36,0.0
2023/01/31 23:43:31,24.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:44:01,24.0,0.0,24.464,0.0,25.36,100.0
2023/01/31 23:44:31,18.0,0.0,24.472,0.0,25.36,100.0
2023/01/31 23:45:31,18.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:46:01,18.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:46:31,30.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:47:31,9.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:48:01,9.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:48:32,0.0,0.0,24.48,0.0,25.36,0.0
2023/01/31 23:49:31,36.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:50:01,36.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:50:32,33.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:51:31,12.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:52:01,12.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:52:32,30.0,0.0,24.48,0.0,25.35,100.0
2023/01/31 23:53:31,30.0,0.0,24.48,0.0,25.35,100.0
2023/01/31 23:54:01,30.0,0.0,24.48,0.0,25.35,100.0
2023/01/31 23:54:32,18.0,0.0,24.488,0.0,25.36,100.0
2023/01/31 23:55:31,18.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:56:01,18.0,0.0,24.48,0.0,25.36,100.0
2023/01/31 23:56:32,24.0,0.0,24.488,0.0,25.35,100.0
2023/01/31 23:57:31,45.0,0.0,24.492,0.0,25.35,100.0
2023/01/31 23:58:01,45.0,0.0,24.492,0.0,25.35,100.0
2023/01/31 23:58:32,45.0,0.0,24.496,0.0,25.35,100.0
